odds_H,odds_D,odds_A,source,implied_H,implied_D,implied_A,home,away,date,odds_spread
2.06,5.3,3.24,estimated (FIFA ranking based),0.515,0.2,0.327,Mexico,South Africa,2026-06-11,1.1800000000000002
1.79,5.3,4.35,estimated (FIFA ranking based),0.592,0.2,0.244,South Korea,Czechia,2026-06-12,2.5599999999999996
1.83,5.3,4.11,estimated (FIFA ranking based),0.58,0.2,0.258,Canada,Bosnia-Herzegovina,2026-06-12,2.2800000000000002
4.56,5.3,1.76,estimated (FIFA ranking based),0.233,0.2,0.603,United States,Paraguay,2026-06-13,2.8
4.01,5.3,1.85,estimated (FIFA ranking based),0.264,0.2,0.574,Qatar,Switzerland,2026-06-13,2.1599999999999997
1.91,5.3,3.73,estimated (FIFA ranking based),0.555,0.2,0.285,Brazil,Morocco,2026-06-13,1.82
3.94,5.3,1.86,estimated (FIFA ranking based),0.269,0.2,0.569,Haiti,Scotland,2026-06-14,2.08
2.21,5.3,2.91,estimated (FIFA ranking based),0.48,0.2,0.364,Australia,Turkey,2026-06-14,0.7000000000000002
1.65,5.3,5.67,estimated (FIFA ranking based),0.643,0.2,0.187,Germany,Curaçao,2026-06-14,4.02
2.21,5.3,2.91,estimated (FIFA ranking based),0.48,0.2,0.364,Netherlands,Japan,2026-06-14,0.7000000000000002
2.99,5.3,2.17,estimated (FIFA ranking based),0.354,0.2,0.489,Ivory Coast,Ecuador,2026-06-14,0.8200000000000003
2.73,5.3,2.33,estimated (FIFA ranking based),0.388,0.2,0.456,Sweden,Tunisia,2026-06-15,0.3999999999999999
1.63,5.3,6.01,estimated (FIFA ranking based),0.652,0.2,0.177,Spain,Cape Verde Islands,2026-06-15,4.38
1.83,5.3,4.1,estimated (FIFA ranking based),0.579,0.2,0.259,Belgium,Egypt,2026-06-15,2.2699999999999996
2.96,5.3,2.18,estimated (FIFA ranking based),0.358,0.2,0.486,Saudi Arabia,Uruguay,2026-06-15,0.7799999999999998
2.05,5.3,3.27,estimated (FIFA ranking based),0.517,0.2,0.325,Iran,New Zealand,2026-06-16,1.2200000000000002
1.86,5.3,3.94,estimated (FIFA ranking based),0.569,0.2,0.269,France,Senegal,2026-06-16,2.08
4.0,5.3,1.85,estimated (FIFA ranking based),0.265,0.2,0.573,Iraq,Norway,2026-06-16,2.15
1.69,5.3,5.22,estimated (FIFA ranking based),0.629,0.2,0.203,Argentina,Algeria,2026-06-17,3.53
2.02,5.3,3.34,estimated (FIFA ranking based),0.525,0.2,0.317,Austria,Jordan,2026-06-17,1.3199999999999998
1.81,5.3,4.19,estimated (FIFA ranking based),0.584,0.2,0.253,Portugal,Congo DR,2026-06-17,2.3800000000000003
2.14,5.3,3.04,estimated (FIFA ranking based),0.495,0.2,0.348,England,Croatia,2026-06-17,0.8999999999999999
2.73,5.3,2.33,estimated (FIFA ranking based),0.388,0.2,0.456,Ghana,Panama,2026-06-17,0.3999999999999999
5.71,5.3,1.65,estimated (FIFA ranking based),0.186,0.2,0.644,Uzbekistan,Colombia,2026-06-18,4.0600000000000005
3.85,5.3,1.88,estimated (FIFA ranking based),0.275,0.2,0.563,Czechia,South Africa,2026-06-18,1.9700000000000002
1.75,5.3,4.64,estimated (FIFA ranking based),0.606,0.2,0.229,Switzerland,Bosnia-Herzegovina,2026-06-18,2.8899999999999997
2.1,5.3,3.14,estimated (FIFA ranking based),0.505,0.2,0.338,Canada,Qatar,2026-06-18,1.04
2.42,5.3,2.61,estimated (FIFA ranking based),0.438,0.2,0.407,Mexico,South Korea,2026-06-19,0.18999999999999995
5.02,5.3,1.71,estimated (FIFA ranking based),0.211,0.2,0.622,United States,Australia,2026-06-19,3.3099999999999996
3.35,5.3,2.02,estimated (FIFA ranking based),0.316,0.2,0.525,Scotland,Morocco,2026-06-19,1.33
1.52,5.3,8.57,estimated (FIFA ranking based),0.698,0.2,0.124,Brazil,Haiti,2026-06-20,7.050000000000001
3.06,5.3,2.13,estimated (FIFA ranking based),0.346,0.2,0.497,Turkey,Paraguay,2026-06-20,0.9300000000000002
1.92,5.3,3.7,estimated (FIFA ranking based),0.553,0.2,0.287,Netherlands,Sweden,2026-06-20,1.7800000000000002
1.99,5.3,3.44,estimated (FIFA ranking based),0.533,0.2,0.308,Germany,Ivory Coast,2026-06-20,1.45
1.84,5.3,4.07,estimated (FIFA ranking based),0.577,0.2,0.261,Ecuador,Curaçao,2026-06-21,2.2300000000000004
3.2,5.3,2.08,estimated (FIFA ranking based),0.332,0.2,0.511,Tunisia,Japan,2026-06-21,1.12
2.15,5.3,3.03,estimated (FIFA ranking based),0.494,0.2,0.349,Spain,Saudi Arabia,2026-06-21,0.8799999999999999
2.03,5.3,3.32,estimated (FIFA ranking based),0.523,0.2,0.319,Belgium,Iran,2026-06-21,1.29
1.72,5.3,4.92,estimated (FIFA ranking based),0.618,0.2,0.216,Uruguay,Cape Verde Islands,2026-06-21,3.2
3.07,5.3,2.13,estimated (FIFA ranking based),0.345,0.2,0.498,New Zealand,Egypt,2026-06-22,0.94
1.65,5.3,5.69,estimated (FIFA ranking based),0.644,0.2,0.186,Argentina,Austria,2026-06-22,4.040000000000001
1.51,5.3,9.05,estimated (FIFA ranking based),0.703,0.2,0.117,France,Iraq,2026-06-22,7.540000000000001
3.26,5.3,2.05,estimated (FIFA ranking based),0.325,0.2,0.517,Norway,Senegal,2026-06-23,1.21
4.16,5.3,1.82,estimated (FIFA ranking based),0.255,0.2,0.582,Jordan,Algeria,2026-06-23,2.34
1.58,5.3,6.89,estimated (FIFA ranking based),0.672,0.2,0.154,Portugal,Uzbekistan,2026-06-23,5.31
1.81,5.3,4.21,estimated (FIFA ranking based),0.585,0.2,0.252,England,Ghana,2026-06-23,2.4
3.42,5.3,1.99,estimated (FIFA ranking based),0.309,0.2,0.532,Panama,Croatia,2026-06-23,1.43
2.1,5.3,3.14,estimated (FIFA ranking based),0.505,0.2,0.338,Colombia,Congo DR,2026-06-24,1.04
2.44,5.3,2.58,estimated (FIFA ranking based),0.434,0.2,0.41,Switzerland,Canada,2026-06-24,0.14000000000000012
3.37,5.3,2.01,estimated (FIFA ranking based),0.315,0.2,0.526,Bosnia-Herzegovina,Qatar,2026-06-24,1.3600000000000003
1.76,5.3,4.53,estimated (FIFA ranking based),0.601,0.2,0.234,Morocco,Haiti,2026-06-24,2.7700000000000005
5.92,5.3,1.63,estimated (FIFA ranking based),0.179,0.2,0.65,Scotland,Brazil,2026-06-24,4.29
5.89,5.3,1.63,estimated (FIFA ranking based),0.18,0.2,0.649,Czechia,Mexico,2026-06-25,4.26
3.31,5.3,2.03,estimated (FIFA ranking based),0.32,0.2,0.521,South Africa,South Korea,2026-06-25,1.2800000000000002
3.42,5.3,1.99,estimated (FIFA ranking based),0.309,0.2,0.532,Ecuador,Germany,2026-06-25,1.43
4.05,5.3,1.84,estimated (FIFA ranking based),0.262,0.2,0.576,Curaçao,Ivory Coast,2026-06-25,2.21
4.13,5.3,1.83,estimated (FIFA ranking based),0.257,0.2,0.58,Tunisia,Netherlands,2026-06-25,2.3
2.21,5.3,2.91,estimated (FIFA ranking based),0.48,0.2,0.364,Japan,Sweden,2026-06-25,0.7000000000000002
2.04,5.3,3.3,estimated (FIFA ranking based),0.52,0.2,0.321,Turkey,United States,2026-06-26,1.2599999999999998
2.84,5.3,2.25,estimated (FIFA ranking based),0.374,0.2,0.47,Paraguay,Australia,2026-06-26,0.5899999999999999
6.11,5.3,1.62,estimated (FIFA ranking based),0.174,0.2,0.655,Norway,France,2026-06-26,4.49
1.77,5.3,4.45,estimated (FIFA ranking based),0.598,0.2,0.238,Senegal,Iraq,2026-06-26,2.68
3.05,5.3,2.14,estimated (FIFA ranking based),0.347,0.2,0.496,Uruguay,Spain,2026-06-27,0.9099999999999997
4.95,5.3,1.71,estimated (FIFA ranking based),0.214,0.2,0.619,Cape Verde Islands,Saudi Arabia,2026-06-27,3.24
5.89,5.3,1.63,estimated (FIFA ranking based),0.18,0.2,0.649,New Zealand,Belgium,2026-06-27,4.26
3.16,5.3,2.09,estimated (FIFA ranking based),0.335,0.2,0.508,Egypt,Iran,2026-06-27,1.0700000000000003
4.73,5.3,1.74,estimated (FIFA ranking based),0.224,0.2,0.61,Panama,England,2026-06-27,2.99
2.11,5.3,3.1,estimated (FIFA ranking based),0.501,0.2,0.341,Croatia,Ghana,2026-06-27,0.9900000000000002
3.42,5.3,1.99,estimated (FIFA ranking based),0.309,0.2,0.532,Colombia,Portugal,2026-06-27,1.43
2.01,5.3,3.38,estimated (FIFA ranking based),0.528,0.2,0.314,Congo DR,Uzbekistan,2026-06-27,1.37
11.73,5.3,1.46,estimated (FIFA ranking based),0.09,0.2,0.726,Jordan,Argentina,2026-06-28,10.27
2.51,5.3,2.51,estimated (FIFA ranking based),0.423,0.2,0.422,Algeria,Austria,2026-06-28,0.0
